Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,4595438.51913452,0,3531256.40985107,850289.20976257,0,1991
1990-11-01,945702.0662384,0,710317.30934143,1269852.82185364,0,1991
1990-12-01,0,0,0,612621.09279633,0,1991
1991-01-01,0,0,0,818005.42788696,0,1991
1991-02-01,0,0,0,1080219.45561218,0,1991
1991-03-01,4652377.69116211,23540.05972672,4020042.00170898,4235821.56505585,0,1991
1991-04-01,4911598.22790527,216795.08477783,4228825.62145996,4169599.11080933,0,1991
1991-05-01,5498265.38574219,871531.83422852,4751491.83300781,3634385.56741333,0,1991
1991-06-01,8185998.90881348,1282202.88476562,7074177.81860352,2076458.19720459,0,1991
1991-07-01,11419471.2385254,353642.75970459,9843164.03295898,1450081.60783386,0,1991
1991-08-01,9702074.85375977,0,6807134.93847656,514437.23501587,0,1991
1991-09-01,5242440.38204956,0,4273952.37026978,131458.35998535,0,1991
1991-10-01,2923214.74554443,0,3175761.6618042,863570.25101471,0,1992
1991-11-01,619502.65592957,0,540020.8748703,985950.36735535,0,1992
1991-12-01,0,0,0,606897.03678131,0,1992
1992-01-01,0,0,0,821369.26309204,0,1992
1992-02-01,0,0,0,1114699.02606201,0,1992
1992-03-01,4219015.26593018,27363.47412872,3654801.70568848,3825222.17166519,0,1992
1992-04-01,6124376.18249512,310378.65185547,5295740.76000977,5142616.62814331,0,1992
1992-05-01,8016131.74060059,1333893.87109375,6944486.61743164,3661998.06983948,0,1992
1992-06-01,10207294.8302002,1572082.41650391,8842721.70776367,3803974.26364136,0,1992
1992-07-01,11391344.4899902,289603.50891113,9701666.77954102,1155776.62796021,0,1992
1992-08-01,10636450.0339356,0,6703457.17373657,0,0,1992
1992-09-01,2922007.44102478,0,5084879.25054932,294068.66654968,0,1992
1992-10-01,2464681.91204834,0,3654991.71594238,2413019.93890381,0,1993
1992-11-01,952681.20381165,0,825321.00585938,1386858.96305847,0,1993
1992-12-01,0,0,0,630469.29753113,0,1993
1993-01-01,0,0,0,631572.36482239,0,1993
1993-02-01,0,0,0,900183.30537415,0,1993
1993-03-01,4180322.35858154,25998.72893524,3654991.71594238,3825698.94324875,0,1993
1993-04-01,5259117.97180176,269229.28753662,4598047.13427734,4761380.57427979,0,1993
1993-05-01,7524579.03381348,1323255.68115234,6578984.07177734,6340335.85736084,0,1993
1993-06-01,9709134.01293945,1633000.23730469,8489011.37207031,7193741.28701782,0,1993
1993-07-01,10450805.526001,318249.34954834,9137478.92749023,4095726.75198364,0,1993
1993-08-01,9614743.17919922,0,8393352.97412109,2025003.98297119,0,1993
1993-09-01,7684621.14135742,0,6586966.68017578,396703.28981018,0,1993
1993-10-01,4573456.31262207,0,3917522.89318848,1243004.47207642,0,1994
1993-11-01,925494.1706562,0,736899.13716316,377235.71948528,0,1994
1993-12-01,0,0,0,617398.68052673,0,1994
1994-01-01,0,0,0,616095.89103699,0,1994
1994-02-01,0,0,0,893024.02718353,0,1994
1994-03-01,4598356.41552734,31963.1493721,4018119.69311523,4165700.10673523,0,1994
1994-04-01,5663664.39123535,307619.70266724,4876206.28149414,3221083.63326263,0,1994
1994-05-01,8360644.71606445,1491020.30822754,7309983.43188477,2893776.36938477,0,1994
1994-06-01,10113682.9562988,1669401.80163574,8840963.54272461,2532.87011719,0,1994
1994-07-01,12958998.1230469,353091.57131958,8917826.421875,0,0,1994
1994-08-01,10071306.0327148,0,5468933.01837158,0,0,1994
1994-09-01,4163963.82794189,0,4144593.3588562,350084.26467896,0,1994
1994-10-01,996780.37239838,0,2791260.34146118,50542.2355032,0,1995
1994-11-01,755155.04263306,0,660256.60043335,1149295.93458557,0,1995
1994-12-01,0,0,0,618064.12911987,0,1995
1995-01-01,0,0,0,436098.73931122,0,1995
1995-02-01,0,0,0,1427409.49123001,0,1995
1995-03-01,3366284.82971191,19936.24342155,2923994.88574219,3147778.5607357,0,1995
1995-04-01,5293754.38842773,258061.70608521,4598217.77246094,4913462.19387817,0,1995
1995-05-01,7994925.0480957,1338831.88476562,6944486.61743164,6829334.21697998,0,1995
1995-06-01,9365869.92773438,1500044.62023926,8135305.57470703,6488221.67883301,0,1995
1995-07-01,10519634.248291,305048.42007446,9137478.92749023,5806422.37728882,0,1995
1995-08-01,10519634.248291,0,9127619.7487793,1583285.64891052,0,1995
1995-09-01,7328057.93383789,0,6295833.34716797,357879.02460861,0,1995
1995-10-01,4535173.96850586,0,3892757.76025391,149590.69502544,0,1996
1995-11-01,1090439.44279861,0,846102.80569077,642606.18526649,0,1996
1995-12-01,0,0,0,638111.12715149,0,1996
1996-01-01,0,0,0,644575.91912842,0,1996
1996-02-01,0,0,0,1115871.58430481,0,1996
1996-03-01,3844661.63275146,25050.61545563,3289492.75097656,3432701.56324768,0,1996
1996-04-01,5787664.16534424,281201.25378418,4949898.81115723,5053870.7538147,0,1996
1996-05-01,8116510.10705566,1236824.22167969,6944486.61743164,6367686.96240234,0,1996
1996-06-01,10748512.7702637,1466737.79638672,9196428.32568359,5252141.49277496,0,1996
1996-07-01,12815536.1481934,261850.62225342,10956006.9467773,1961022.34171677,0,1996
1996-08-01,11533987.4128418,0,9014590.36047363,376074.77414703,0,1996
1996-09-01,7023930.8416748,0,5071061.13195801,724840.44779968,0,1996
1996-10-01,4221776.5970459,0,3654991.71594238,1726721.3099823,0,1997
1996-11-01,876614.27346802,0,748180.71214294,1159716.0557251,0,1997
1996-12-01,0,0,0,650980.81396484,0,1997
1997-01-01,0,0,0,828941.6764679,0,1997
1997-02-01,71169.06080627,0,58951.50582504,919333.36252594,0,1997
1997-03-01,4412479.8067627,18893.82741928,3654355.8001709,3775133.57209396,0,1997
1997-04-01,5978200.40930176,200021.77932739,4914741.0144043,4606579.45059204,0,1997
1997-05-01,10148705.4243164,1114921.4786377,8406482.47900391,5799030.87678528,0,1997
1997-06-01,10248338.3164062,1042066.06945801,8489011.37207031,3405531.97344971,0,1997
1997-07-01,7501217.41040039,125903.46238708,6213487.34350586,1795954.3999939,0,1997
1997-08-01,882496.42047119,0,730998.72143555,641947.19867325,0,1997
1997-09-01,854028.78421021,0,707418.1053772,728210.62166214,0,1997
1997-10-01,441249.06697083,0,365500.07185364,378825.16459274,0,1998
1997-11-01,185039.85811234,0,153274.16265488,279857.28835869,0,1998
1997-12-01,0,0,0,622126.07658386,0,1998
1998-01-01,0,0,0,665213.56243896,0,1998
1998-02-01,67856.63915062,0,58951.50582504,922230.38840103,0,1998
1998-03-01,3786399.0355835,27884.69023895,3289492.75097656,3508854.34426498,0,1998
1998-04-01,5699957.01031494,313014.65808105,4951899.20544434,5030313.33795166,0,1998
1998-05-01,6310663.7611084,1086908.93310547,5482486.81420898,5616321.8861084,0,1998
1998-06-01,9771349.88305664,1507085.26538086,8489011.37207031,7363673.74627686,0,1998
1998-07-01,12621327.5222168,291474.81671143,10964973.628418,5659123.20707703,0,1998
1998-08-01,11359199.5817871,0,9860855.33544922,1199110.05468941,0,1998
1998-09-01,7734511.8840332,0,6702358.25512695,1440369.15180969,0,1998
1998-10-01,4204958.496521,0,3654991.71594238,2081212.77713013,0,1999
1998-11-01,759994.05767822,0,660256.60043335,1165361.2802887,0,1999
1998-12-01,0,0,0,622066.1786499,0,1999
1999-01-01,0,0,0,834580.42115784,0,1999
1999-02-01,0,0,0,1446546.00787354,0,1999
1999-03-01,3383547.82843018,21525.9317894,2923875.27807617,3054298.08821869,0,1999
1999-04-01,5730200.86065674,284858.60443115,4941384.14355469,4572606.15166473,0,1999
1999-05-01,8458865.17663574,1380698.1809082,7309983.43188477,4953440.54520035,0,1999
1999-06-01,10232498.0140381,1545881.03930664,8842721.70776367,2041670.60778809,0,1999
1999-07-01,12265356.3793945,305871.37231445,10599477.5639648,143027.50601196,0,1999
1999-08-01,10150636.2667236,0,8749811.86499023,396586.61880112,0,1999
1999-09-01,8074495.97973633,0,6797069.3828125,0,0,1999
1999-10-01,4418490.17440796,0,4314258.57043457,748314.39408112,0,2000
1999-11-01,955033.50285339,0,825321.00585938,1416292.88291931,0,2000
1999-12-01,0,0,0,617833.29000854,0,2000
2000-01-01,0,0,0,645572.58139038,0,2000
2000-02-01,0,0,0,1141109.11987305,0,2000
2000-03-01,2531408.67367554,22178.81300354,2192994.61175537,2307677.29964256,0,2000
2000-04-01,6124376.18249512,369214.91174316,5304766.0456543,5591930.06768799,0,2000
2000-05-01,8016131.74060059,1380983.37451172,6944486.61743164,6142006.26628113,0,2000
2000-06-01,4491211.5546875,647762.36914062,3890799.15600586,2655728.3228569,0,2000
2000-07-01,10125634.6947022,176662.40026855,8771978.44702148,4290915.60354614,0,2000
2000-08-01,10547537.7908935,0,8744315.97631836,767287.93580437,0,2000
2000-09-01,7339049.84484863,0,5156048.21563721,311944.99237061,0,2000
2000-10-01,4163321.69445801,0,3653815.20031738,2349512.01507568,0,2001
2000-11-01,762144.7305603,0,660256.60043335,1117223.33836365,0,2001
2000-12-01,0,0,0,614501.22496033,0,2001
2001-01-01,0,0,0,825574.05532837,0,2001
2001-02-01,0,0,0,956285.5408783,0,2001
2001-03-01,4180322.35858154,35684.52902985,3654511.80480957,3783942.91743088,0,2001
2001-04-01,5259117.97180176,320929.68133545,4586730.57214355,4381995.82254028,0,2001
2001-05-01,10032771.7266846,1833247.07373047,8771978.44702148,2183662.65701294,0,2001
2001-06-01,10518227.6286621,1664563.3293457,9145747.46435547,177008.82311249,0,2001
2001-07-01,12122936.6923828,259067.66741943,7573922.13793945,814778.30294037,0,2001
2001-08-01,10332278.4571533,0,5763356.87416077,0,0,2001
2001-09-01,4942013.37752533,0,4313247.85668945,855024.38369751,0,2001
2001-10-01,2190569.12741852,0,2859031.9289856,410391.99828339,0,2002
2001-11-01,434062.01190186,0,511601.10121155,855963.94593048,0,2002
2001-12-01,0,0,0,650097.34945679,0,2002
2002-01-01,0,0,0,844129.35215759,0,2002
2002-02-01,0,0,0,1186219.27603149,0,2002
2002-03-01,5016385.8692627,47103.57409286,4379486.68347168,4489265.13386536,0,2002
2002-04-01,5663664.39123535,365933.01467896,4846310.99749756,4421957.17590332,0,2002
2002-05-01,7524579.03662109,1389290.45849609,6578984.07177734,5112816.93031311,0,2002
2002-06-01,9304590.15673828,1438256.78320312,8135305.57470703,3398445.22359467,0,2002
2002-07-01,11286873.5791016,211048.53283691,9845205.38330078,1064034.0243454,0,2002
2002-08-01,10868834.9890137,0,7448230.03033447,0,0,2002
2002-09-01,8023880.27233887,0,4848932.34954834,240867.45425797,0,2002
2002-10-01,4012774.02293777,0,3066748.5368042,0,0,2003
2002-11-01,820272.7093811,0,674461.81082153,1018502.21580505,0,2003
2002-12-01,0,0,0,645735.97937012,0,2003
2003-01-01,0,0,0,850756.74681091,0,2003
2003-02-01,0,0,0,2789009.33032227,0,2003
2003-03-01,5049423.65490723,37136.14013672,4385989.22351074,4691614.39520264,0,2003
2003-04-01,4479330.04248047,245652.8013916,3890799.15600586,4161461.86859131,0,2003
2003-05-01,8415707.6965332,1447519.61474609,7309983.43188477,6973219.50035095,0,2003
2003-06-01,11401930.2941894,1756211.96899414,9903851.72827148,5798028.71402264,0,2003
2003-07-01,13044345.7216797,300838.83374023,11329811.5742188,3761548.79943848,0,2003
2003-08-01,10098847.3098144,0,8768252.33520508,4999320.1131897,0,2003
2003-09-01,7735055.45117188,0,6162702.01318359,346733.2389698,0,2003
2003-10-01,4915369.8835144,0,3683776.04663086,62807.69173431,0,2004
2003-11-01,945576.29832458,0,809875.03131104,1372887.30046082,0,2004
2003-12-01,0,0,0,643402.67706299,0,2004
2004-01-01,0,0,0,1067158.68214417,0,2004
2004-02-01,0,0,0,1673220.91989136,0,2004
2004-03-01,3844661.63275146,33356.8704071,3289030.42944336,3407392.60852051,0,2004
2004-04-01,6614474.54125977,381423.98175049,5638666.96142578,5310534.30255127,0,2004
2004-05-01,8116510.10705566,1276014.56958008,6944486.61743164,5522271.28924561,0,2004
2004-06-01,10748512.7702637,1366620.36816406,9196428.32568359,3891296.91023254,0,2004
2004-07-01,13242721.2763672,181048.04800415,11293721.0419922,1105123.72201538,0,2004
2004-08-01,11106796.2972412,0,7369576.10943604,398532.52800369,0,2004
2004-09-01,7693102.41955566,0,4695395.30548096,0,0,2004
2004-10-01,4082545.29595947,0,3654991.71594238,2016259.88600159,0,2005
2004-11-01,895709.91400146,0,766369.46481323,1368797.44041443,0,2005
2004-12-01,0,0,0,1028764.04449463,0,2005
2005-01-01,0,0,0,832529.67855835,0,2005
2005-02-01,85402.83948326,0,70741.77861214,1248036.87184238,0,2005
2005-03-01,4853729.71582031,28075.56815338,4019715.24145508,4156605.8376236,0,2005
2005-04-01,5551187.18408203,220942.92556763,4584979.89953613,4362317.33282471,0,2005
2005-05-01,7501217.41040039,853164.11474609,6213487.34350586,6076158.90454102,0,2005
2005-06-01,8540283.86694336,813207.73706055,7074177.81860352,4654163.22336578,0,2005
2005-07-01,12354947.5429688,142311.41920471,10229262.3916016,3451960.61482239,0,2005
2005-08-01,12354947.5429688,0,8918939.04290771,736543.43647385,0,2005
2005-09-01,7254588.05224609,0,4476907.71075439,140529.88684082,0,2005
2005-10-01,4193904.08148193,0,3218298.92773438,484418.36097717,0,2006
2005-11-01,738692.03030396,0,607482.36715698,1098635.84985352,0,2006
2005-12-01,0,0,0,635377.06124878,0,2006
2006-01-01,0,0,0,659983.62969971,0,2006
2006-02-01,81427.93498898,0,70741.77861214,1152242.52852345,0,2006
2006-03-01,2524265.37051392,24753.76950455,2192994.61175537,2356401.43367195,0,2006
2006-04-01,4885674.94152832,318431.97174072,4244505.68603516,4522754.70877075,0,2006
2006-05-01,7993511.26477051,1420375.11108398,6944486.61743164,6317327.03588867,0,2006
2006-06-01,10178491.1732178,1462722.89135742,8842721.70776367,5142173.01818848,0,2006
2006-07-01,12621327.5222168,195029.70397949,10957583.4663086,1707560.69772339,0,2006
2006-08-01,10097061.4820557,0,7534947.19628906,1244097.1618042,0,2006
2006-09-01,7242630.77685547,0,5043233.88336182,82722.39511299,0,2006
2006-10-01,3748668.92781448,0,3065929.37646484,178359.52152634,0,2007
2006-11-01,751554.58773804,0,647919.03448486,1113870.03903198,0,2007
2006-12-01,0,0,0,626140.5647583,0,2007
2007-01-01,0,0,0,604427.74430084,0,2007
2007-02-01,0,0,0,961096.69914246,0,2007
2007-03-01,4229432.58831787,36348.61592865,3651893.61669922,3768455.60099792,0,2007
2007-04-01,5730200.86065674,338857.25274658,4878546.2723999,4314158.55865479,0,2007
2007-05-01,8881810.72558594,1500911.35351562,7675484.52050781,5225846.36621094,0,2007
2007-06-01,9823196.45581055,1389744.47680664,8488391.86523438,2081242.51507568,0,2007
2007-07-01,11419471.2385254,195432.83258057,8973965.83843994,552320.89241028,0,2007
2007-08-01,10150636.2667236,0,5962267.68643188,89735.70607853,0,2007
2007-09-01,6376041.39825439,0,3893796.93908691,97839.68910408,0,2007
2007-10-01,3345985.13214111,0,2923994.88574219,2842155.33102417,0,2008
2007-11-01,955033.50285339,0,825321.00585938,1381435.4574585,0,2008
2007-12-01,0,0,0,627157.89477539,0,2008
2008-01-01,0,0,0,644122.07641602,0,2008
2008-02-01,0,0,0,1222878.87911987,0,2008
2008-03-01,3375213.96405029,38404.87365723,2923723.55541992,3065394.20579147,0,2008
2008-04-01,5307796.17443848,377892.52746582,4581503.22167969,4278672.3291626,0,2008
2008-05-01,8016131.74060059,1415230.32226562,6944486.61743164,5642378.67431641,0,2008
2008-06-01,9799001.38793945,1302252.96923828,8489011.37207031,3804496.8561554,0,2008
2008-07-01,11391344.4899902,124927.21328735,9851776.65405273,844045.42853546,0,2008
2008-08-01,10125634.6947022,0,7305417.034729,0,0,2008
2008-09-01,7194563.62945557,0,4456862.64837646,0,0,2008
2008-10-01,3703847.36502075,0,3108152.60586548,481925.82274628,0,2009
2008-11-01,952681.20381165,0,825321.00585938,1405246.5617981,0,2009
2008-12-01,0,0,0,627208.47477722,0,2009
2009-01-01,0,0,0,816979.63690186,0,2009
2009-02-01,0,0,0,959996.17778015,0,2009
2009-03-01,3344259.62445068,31402.38537598,2923994.88574219,3033074.37652588,0,2009
2009-04-01,5663664.39190674,365933.00970459,4945182.97644043,4591312.31515503,0,2009
2009-05-01,8360644.71716309,1543656.65209961,7309983.43188477,6741950.95391846,0,2009
2009-06-01,9304590.14599609,1438256.78808594,8135305.57470703,5931663.52355957,0,2009
2009-07-01,11704906.4660644,218865.14474487,10159590.3529053,741558.00069618,0,2009
2009-08-01,10006583.5360107,0,6471215.2355957,363432.13744354,0,2009
2009-09-01,5900003.62962723,0,4519609.95257568,71050.00291252,0,2009
2009-10-01,3295702.18624878,0,3609384.04504395,2228140.12367249,0,2010
2009-11-01,831368.31480408,0,803069.82925415,1324196.32333374,0,2010
2009-12-01,0,0,0,628290.70042419,0,2010
2010-01-01,0,0,0,648154.57919312,0,2010
2010-02-01,0,0,0,1148679.39431763,0,2010
2010-03-01,3762290.3737793,38692.23438263,3289492.75097656,3476742.34646606,0,2010
2010-04-01,4854567.00830078,331823.96981812,4244146.03027344,4501057.6852417,0,2010
2010-05-01,6688519.24755859,1246409.18933105,5847989.77148438,5677467.99676514,0,2010
2010-06-01,8900044.62255859,1341330.45581055,7781598.31201172,5691293.05857849,0,2010
2010-07-01,11704906.4658203,189683.11914062,10233980.1259766,3462916.83217621,0,2010
2010-08-01,10032771.7385254,0,8744476.13330078,0,0,2010
2010-09-01,7278220.65771484,0,5678400.35400391,1460403.31362915,0,2010
2010-10-01,4163231.24157715,0,3608642.21826172,1199963.80334473,0,2011
2010-11-01,755155.04263306,0,660256.60043335,1126394.46694946,0,2011
2010-12-01,0,0,0,648432.40380859,0,2011
2011-01-01,0,0,0,811653.84872437,0,2011
2011-02-01,0,0,0,927523.92453003,0,2011
2011-03-01,2945498.86633301,28845.66827393,2558495.21936035,2787014.87026215,0,2011
2011-04-01,4479330.04248047,291555.06121826,3890757.51879883,4084412.6322937,0,2011
2011-05-01,6311779.91088867,1120039.01989746,5482486.81420898,5171866.03765869,0,2011
2011-06-01,8551446.79443359,1227251.7869873,7427888.01953125,6189018.09783936,0,2011
2011-07-01,8836495.35449219,136361.33410645,7675484.52050781,4294499.05955505,0,2011
2011-08-01,8836495.35449219,0,7675484.52050781,1682569.72587967,0,2011
2011-09-01,8533035.1986084,0,7396393.69580078,422394.28102493,0,2011
2011-10-01,3341965.81036377,0,2981056.83776855,1725299.64077759,0,2012
2011-11-01,796412.8183136,0,748440.22128296,562717.04096222,0,2012
2011-12-01,0,0,0,595094.62145996,0,2012
2012-01-01,0,0,0,763803.05775452,0,2012
2012-02-01,0,0,0,1304811.73449707,0,2012
2012-03-01,3215000.51342773,16418.76903152,2750754.67834473,2929370.19581604,0,2012
2012-04-01,5268454.59851074,215297.97766113,4507690.10107422,4715742.29202271,0,2012
2012-05-01,8259935.79187012,1206833.40380859,7067201.63842773,6421144.2253418,0,2012
2012-06-01,8501902.76721191,1227478.61157227,7274228.63208008,4699427.31738281,0,2012
2012-07-01,9829461.63000488,280582.92370605,8394666.25854492,584654.8180542,0,2012
2012-08-01,9349863.93566895,0,6971885.88720703,0,0,2012
2012-09-01,6968702.83557129,0,4403936.55102539,0,0,2012
2012-10-01,3538253.36798096,0,3006500.19573975,1063349.28923035,0,2013
2012-11-01,694648.29174805,0,498639.11849976,865363.10865784,0,2013
2012-12-01,0,0,0,950458.81128693,0,2013
2013-01-01,0,0,0,885325.82035828,0,2013
2013-02-01,0,0,0,1175620.56797791,0,2013
2013-03-01,4326172.54125977,16132.36032104,3583204.83666992,3710286.51078796,0,2013
2013-04-01,6117722.10546875,182549.61962891,5065974.45922852,4869210.68569946,0,2013
2013-05-01,8284733.80419922,883860.0357666,6862497.84326172,6199354.86990356,0,2013
2013-06-01,9970370.3894043,1051099.04101562,8251877.32983398,3571786.84867859,0,2013
2013-07-01,11161190.2980957,232635.85852051,8825987.22106934,2570077.23209381,0,2013
2013-08-01,8937125.7331543,0,5435239.20324707,861885.58546448,0,2013
2013-09-01,5968789.01818848,0,4034864.9743042,1161902.08969116,0,2013
2013-10-01,4088270.77084351,0,3627411.81463623,1990858.18364716,0,2014
2013-11-01,820259.01189804,0,597781.48979187,524860.02960968,0,2014
2013-12-01,0,0,0,459657.70944977,0,2014
2014-01-01,0,0,0,888967.13366699,0,2014
2014-02-01,0,0,0,1074306.75595093,0,2014
2014-03-01,4050552.58789062,23380.44771194,3518980.21728516,3759675.43338966,0,2014
2014-04-01,5689257.5,262779.49664307,4940690.50585938,4784502.32983398,0,2014
2014-05-01,8041260.64746094,1327925.55566406,6985969.60595703,4768930.91766357,0,2014
2014-06-01,10308306.1013184,1682148.55639648,8610301.1184082,587137.09047699,0,2014
2014-07-01,10761934.6755371,347217.09423828,6471601.43771362,411406.96448517,0,2014
2014-08-01,8628456.40942383,0,4902065.00021362,536601.66174316,0,2014
2014-09-01,4851697.94580078,0,4576868.31884766,1736447.32466125,0,2014
2014-10-01,3578562.32391357,0,3230257.19055176,3301321.09536743,0,2015
2014-11-01,725832.89837646,0,630578.56484985,1073701.95050049,0,2015
2014-12-01,0,0,0,584127.11642456,0,2015
2015-01-01,0,0,0,1052616.39888,0,2015
2015-02-01,0,0,0,1453025.30905151,0,2015
2015-03-01,4292270.6159668,23781.19999695,3708600.54418945,3879564.2794342,0,2015
2015-04-01,4873450.5760498,189782.80291748,4191545.12084961,3879536.75517273,0,2015
2015-05-01,7994760.55529785,1267252.39941406,6908913.40112305,5995067.84539795,0,2015
2015-06-01,10288341.2053223,1611500.50219727,8732020.80517578,4632772.93634033,0,2015
2015-07-01,10102489.6218262,312858.09008789,7264353.99185181,1877849.92573547,0,2015
2015-08-01,8835381.7076416,0,5031785.31575012,394736.84569168,0,2015
2015-09-01,6356986.20617676,0,3560639.85440063,168236.5,0,2015
2015-10-01,3693414.74569702,0,2588833.93344116,926830.95851135,0,2016
2015-11-01,702179.67698669,0,490370.40527344,883401.38352966,0,2016
2015-12-01,0,0,0,438088.07679749,0,2016
2016-01-01,0,0,0,535478.54756927,0,2016
2016-02-01,0,0,0,937042.41859436,0,2016
2016-03-01,3767850.61962891,21281.91698456,3264141.48095703,3466312.09295464,0,2016
2016-04-01,6782884.16455078,306569.04785156,5874831.35083008,5876878.13485718,0,2016
2016-05-01,8201184.25683594,1325270.56347656,7104800.18457031,6198107.36682129,0,2016
2016-06-01,9926512.26745605,1585082.29248047,8599475.91479492,4811907.39625549,0,2016
2016-07-01,10995993.1386719,347155.21606445,9476405.19042969,1389365.82725525,0,2016
2016-08-01,9808092.37109375,0,6566885.62988281,194786.48263168,0,2016
2016-09-01,6548289.84893799,0,3794336.40341187,0,0,2016
2016-10-01,2849406.18682861,0,2484313.51318359,1981331.84759521,0,2017
2016-11-01,832406.322052,0,721125.19390869,1229146.70523071,0,2017
2016-12-01,0,0,0,330756.46716309,0,2017
2017-01-01,0,0,0,387537.52720642,0,2017
2017-02-01,0,0,0,946956.55226135,0,2017
2017-03-01,3518811.95977783,21300.99749756,3076611.67663574,3228671.58075714,0,2017
2017-04-01,5548978.91644287,268790.49383545,4851607.15930176,5058040.40188599,0,2017
2017-05-01,8692442.18701172,1505416.83984375,7600084.74658203,6638374.24438477,0,2017
2017-06-01,9652843.24609375,1651951.89135742,8439794.640625,5065607.32112122,0,2017
2017-07-01,11240237.7493897,380321.95721436,9817469.4675293,1841276.81552124,0,2017
2017-08-01,8674389.00866699,0,7355172.24072266,1498820.01147461,0,2017
2017-09-01,5666530.83703613,0,4651557.45996094,401850.67800903,0,2017
2017-10-01,3881868.64993286,0,3467358.59204102,622490.43193436,0,2018
2017-11-01,627272.52317047,0,546183.53904724,885537.69536591,0,2018
2017-12-01,0,0,0,397357.99376678,0,2018
2018-01-01,0,0,0,569874.41149902,0,2018
2018-02-01,0,0,0,1132216.88230896,0,2018
2018-03-01,3964237.05786133,23997.3647747,3466061.32373047,3664512.66588593,0,2018
2018-04-01,5513936.78833008,267093.19091797,4820919.50244141,4991758.60198975,0,2018
2018-05-01,8011297.2824707,1387451.00427246,7004537.60766602,6033142.48706055,0,2018
2018-06-01,10255415.3024902,1755073.79272461,8948571.73022461,865620.90325928,0,2018
2018-07-01,10869137.159668,367765.55078125,7944553.79699707,881537.74377441,0,2018
2018-08-01,8675109.26495361,0,4819855.06747437,0,0,2018
2018-09-01,4946818.27398682,0,3544463.64993286,0,0,2018
