pred1,Fstat,pval,Rsquare,adjRsquare,AICc,loocv,n
BY_recon_10,0.011899530525767,0.00127192870328234,0.00062589908528924,-0.0519727378049586,267.666240842903,17881,21
BY_recon_15,0.00554087439053741,0.00351072867528332,0.000291539947595156,-0.0523246947920051,267.673265607256,17421,21
BY_recon_20,0.0595758343550518,0.00792303423894598,0.00312576916049022,-0.0493412956205366,267.613644882584,17193,21
BY_recon_50,1.12232347558062,0.143993913050694,0.0557750439178958,0.00607899359778508,266.474181192664,16329,21
BY_recon_80,1.88248074497784,0.879180293423748,0.0901464135399989,0.042259382673683,265.695485524045,16796,21
BY_recon_100,0.540829712074385,0.39134186894722,0.0276769062544055,-0.0234979934164152,267.089979134364,18162,21
RY_discon_10,0.00364817187702244,0.822567611599169,0.000191972185762799,-0.0524295029623549,267.675357035872,17605,21
RY_discon_15,0.00487979458269218,0.799007627119512,0.000256765348449252,-0.0523612996332112,267.673996074098,17836,21
RY_discon_20,0.0107658625155136,0.821225832483439,0.000566303461594946,-0.0520354700404264,267.667493097471,18132,21
RY_discon_50,2.85262613080226e-06,0.73939686357721,1.50138194869164e-07,-0.0526314209071632,267.67938568588,17651,21
RY_discon_80,0.000808885273454743,0.77399608784353,4.25710967537634e-05,-0.052586767266575,267.678494826721,17814,21
RY_discon_100,0.0895020292511043,0.9999559358205,0.00468854709326409,-0.0476962662176168,267.580697809841,18118,21
RY_recon_10,0.157990010718087,0.000688644690890274,0.00824669031718349,-0.0439508522977015,267.505490308836,17232,21
RY_recon_15,0.104146018165643,0.00338087738830248,0.00545148775907668,-0.0468931707799192,267.564594410559,17648,21
RY_recon_20,0.106383433713066,0.00615899991482585,0.00556795241140995,-0.046770576409042,267.56213510276,17920,21
RY_recon_50,0.61269884394264,0.195441895022946,0.0312399047585372,-0.0197474686752239,267.012885011819,16475,21
RY_recon_80,0.0996026427775455,0.258455621115183,0.00521490654232065,-0.0471422036396623,267.569589254622,16838,21
RY_recon_100,0.249531821394413,0.0486551551197384,0.0129630072933554,-0.0389863081122575,267.405385872376,16813,21
SY_discon_80,1.31644116081398,0.427297046959573,0.0647968386979662,0.0155756196820697,266.272567580674,16130,21
SY_discon_100,0.648287544812232,0.658552210376518,0.0329946079694564,-0.0179004126637301,266.974813481187,16797,21
BY_min_flow_sepdec,1.65259227346577,0.000364567392073633,0.0800186364783372,0.0315985647140393,265.927949648879,15475,21
RY_min_flow,0.296675473932936,0.00106381837408447,0.0153744345410018,-0.0364479636410509,267.35401805871,16617,21
SY_min_flow_janjul,6.05777822713121,0.0814771035875303,0.241752408063544,0.201844640066888,261.867737365829,15809,21
tot_flow_CFLP,0.000179634851869824,0.0627310115768022,9.45437650180533e-06,-0.0526216269721034,267.679190295937,19384,21
BY_tot_flow_sepdec,3.38741931465856,9.57696384894695e-05,0.151309057424077,0.106641113077976,264.234124971033,15135,21
RY_tot_flow,0.577156235162936,0.00912663737038025,0.0294811068691526,-0.0215988348745761,267.050976246783,16755,21
SY_tot_flow_janjul,1.32263012795849,0.13055641262952,0.0650816414819709,0.0158754120862852,266.266171356207,19755,21
log_tot_flow_CFLP,0.0748054915214062,0.705355122144417,0.00392169092128654,-0.0485034832407509,267.596871419563,18617,21
log_BY_tot_flow_sepdec,5.16670568691623,0.0199190199861327,0.213794372880267,0.172415129347649,262.628113757011,13599,21
log_RY_tot_flow,0.456655261174168,0.427120488314612,0.0234703886687773,-0.0279259066644448,267.180634529976,17063,21
log_SY_tot_flow_janjul,0.778685108410364,0.475576551558024,0.0393699128198997,-0.0111895654527372,266.835905589676,18312,21
BY_FA_Mag,3.079597036564,0.000714954267084897,0.180308530111759,0.121759139405456,205.981367767401,18872,16
BY_FA_Tim,2.20252822927597,0.00637122243976997,0.135937317812925,0.074218554799562,206.824844595846,19651,16
BY_FA_Dur,3.65624760440832,0.0036598800622237,0.207079538434625,0.150442362608526,205.450086210728,18792,16
RY_Wet_Tim,0.00682379114564119,0.144150173340293,0.000359017962213132,-0.0522536653029335,267.671848107866,16798,21
RY_Wet_BFL_Dur,2.62816943663044,0.986008263057978,0.121516036959617,0.07528003890486,264.958678683212,15409,21
RY_SP_ROC,1.1253844257094,0.823372041272576,0.0559186548641411,0.00623016301488533,266.470986975841,18817,21
RY_DS_Mag_50,0.561039718983113,0.00247911951803308,0.028681487642942,-0.0224405393232188,267.068271211492,16371,21
RY_DS_Mag_90,0.501039349835517,0.0125171690477656,0.025692956198242,-0.0255863618965873,267.13278435432,22511,21
RY_FA_Mag,0.728646815673016,0.0440003762987477,0.0494714025525855,-0.018423497265087,206.551074884667,22100,16
RY_FA_Tim,0.591049899150463,0.0194014633103312,0.040507701860774,-0.0280274622920278,206.701251528606,18861,16
RY_FA_Dur,0.0280090651183499,0.165122247854304,0.00199665290978436,-0.0692893004538024,207.330888994854,24677,16
RY_Wet_BFL_Mag_50,3.89318833198622,0.000515024071872744,0.170058808564759,0.126377693226062,263.764979716504,13803,21
RY_DS_Tim,0.753680611551703,0.573968163816117,0.0381539332528724,-0.0124695439443447,266.862470885959,17332,21
RY_SP_Tim,3.55725022333264,0.386281339038831,0.157698752645529,0.113367108047925,264.075420230593,14591,21
RY_DS_Dur_WS,1.20418478223195,0.0549265103787736,0.0596007606944347,0.0101060638888786,266.388922643126,17230,21
SY_Wet_Tim,0.511179376054422,0.0476434327699041,0.0276146303630805,-0.0264067790611928,254.437774989593,16985,20
SY_Wet_BFL_Dur,0.00172659227051347,0.161881529928443,9.59125926984597e-05,-0.0554543144854849,254.995918291253,22037,20
SY_SP_ROC,0.898877957428797,0.103740972002336,0.0475625039461914,-0.00535069027902013,254.023220733599,16173,20
